seed,log_loss,brier_score,roc_auc,accuracy,logloss_improvement_vs_baseline,brier_improvement_vs_baseline
32,0.6949893836737552,0.25090126872311397,0.48509035351140617,0.5114503816793893,-0.002053278683520232,-0.0010101859941806235
18,0.6950130627107485,0.2509091313215478,0.48045413834887524,0.5318066157760815,-0.002076957720513528,-0.0010180485926144511
84,0.6950205159106215,0.25092073219433453,0.47887361045255783,0.5089058524173028,-0.0020844109203865813,-0.0010296494654011834
14,0.6950257395541559,0.25093198217650775,0.47531742268584376,0.5190839694656488,-0.0020896345639209724,-0.001040899447574406
25,0.6950545594378189,0.25093561048000745,0.4778199251883462,0.5267175572519084,-0.0021184544475839617,-0.0010445277510741091
83,0.6950839203570969,0.25091805117761845,0.49020072704283235,0.55470737913486,-0.002147815366861927,-0.001026968448685106
81,0.69511692017401,0.25097275436817384,0.4787418997945313,0.5114503816793893,-0.002180815183774998,-0.0010816716392405001
21,0.6951499728383408,0.2509840538850284,0.48179758706074505,0.49363867684478374,-0.002213867848105844,-0.0010929711560950794
61,0.6951619387843321,0.2509908232101859,0.48250882461408773,0.5012722646310432,-0.0022258337940971318,-0.0010997404812525535
99,0.6951791159415791,0.25098553640138904,0.48379958906274695,0.5267175572519084,-0.00224301095134416,-0.0010944536724556975
16,0.6952195169126859,0.2510118329460481,0.48408935251040514,0.5165394402035624,-0.002283411922450962,-0.0011207502171147743
78,0.6953276943235955,0.2510862536037823,0.4770296612401876,0.5038167938931297,-0.0023915893333605887,-0.0011951708748489387
36,0.6953798060309426,0.25109587725068605,0.4769506348453717,0.5241730279898219,-0.00244370104070768,-0.0012047945217527056
67,0.6954310954669364,0.251128526274551,0.4734998156050788,0.5139949109414759,-0.002494990476701431,-0.001237443545617667
97,0.6955479388430835,0.2512011180144837,0.4743427638164481,0.5063613231552163,-0.0026118338528485774,-0.0013100352855503483
64,0.695611969367417,0.25120611993983866,0.48332543069385175,0.5063613231552163,-0.0026758643771820356,-0.0013150372109053121
53,0.6956853876942111,0.2512518981855895,0.4756598703967125,0.5114503816793893,-0.002749282703976119,-0.0013608154566561725
26,0.6958701572887657,0.25136370776772127,0.4638585954375428,0.48346055979643765,-0.0029340522985307205,-0.0014726250387879225
31,0.6959542109258945,0.25138954938989183,0.47392128971076336,0.5012722646310432,-0.003018105935659543,-0.0014984666609584862
22,0.6960557390567645,0.25142562433563403,0.4687318897845214,0.539440203562341,-0.0031196340665295974,-0.00153454160670069
2,0.6960935294632761,0.25145172595319926,0.4778199251883462,0.5165394402035624,-0.003157424473041126,-0.0015606432242659118
