n,log_loss,brier_score,roc_auc,accuracy,calibration_slope,probability_spread_return,slice,model_id
150,0.6864284247959958,0.24665558093743034,0.5364143139723072,0.5266666666666666,1.1255260615906293,0.0018554911559592769,year_2026,liuyao_hash
57,0.7011533509900488,0.2539668033764626,0.4740740740740741,0.49122807017543857,-0.39640085367479666,-0.001435012792095754,quarter_2025Q1,baseline
57,0.7055669358320734,0.2561424595780543,0.4666666666666666,0.5087719298245614,-0.6402836475918615,-0.0032642086631914187,quarter_2025Q1,cycle
57,0.7046631347954844,0.2556812365748214,0.46419753086419746,0.42105263157894735,-0.5515799803426111,-0.0029478308438385115,quarter_2025Q1,ziping
57,0.7006760789282863,0.2536628067866854,0.5061728395061729,0.47368421052631576,0.011490945244032042,-0.002758444719502225,quarter_2025Q1,qimen
57,0.7133643998928453,0.25998568602313776,0.4320987654320988,0.45614035087719296,-1.3751934826434067,-0.0036075440049972707,quarter_2025Q1,meihua
57,0.706253366641028,0.2565027419595266,0.4506172839506173,0.40350877192982454,-0.9667799807939399,-0.00196943488161605,quarter_2025Q1,liuyao_hash
60,0.6991027821670136,0.25300661612133774,0.4247685185185185,0.5,-1.2843817235760464,-0.001711043887681729,quarter_2025Q2,baseline
60,0.6950511255312514,0.250976870094431,0.4895833333333333,0.5,0.06955856344955351,-0.0007608010454379921,quarter_2025Q2,cycle
60,0.6978509742644622,0.252360532351045,0.4930555555555555,0.55,-0.36459431255696384,-0.0002956008458444943,quarter_2025Q2,ziping
60,0.691868147767411,0.24942748661231764,0.4756944444444444,0.5,-0.0020600017066024086,-0.006862473410823919,quarter_2025Q2,qimen
60,0.6939928845703867,0.25046554966518597,0.49652777777777773,0.5666666666666667,0.019128079217530514,-0.006286423528481873,quarter_2025Q2,meihua
60,0.6988433525518082,0.25283396987706785,0.4722222222222222,0.55,-0.668374028100991,-0.0014468332727784563,quarter_2025Q2,liuyao_hash
66,0.6778058911215755,0.24233746888891686,0.5267947421638018,0.6363636363636364,0.7738037536625395,0.0009526273517936018,quarter_2025Q3,baseline
66,0.6657139187526552,0.23635788481288328,0.58948432760364,0.6363636363636364,1.582830854994111,0.0011690537303729123,quarter_2025Q3,cycle
66,0.6745146682097767,0.24072491461751952,0.5338725985844287,0.6060606060606061,0.8124615119275888,0.0026626930543478373,quarter_2025Q3,ziping
66,0.679253133280816,0.24303607673185995,0.5227502527805865,0.6212121212121212,0.5021967546246673,0.002819743738071336,quarter_2025Q3,qimen
66,0.6837488734834468,0.24531305636566111,0.4883720930232558,0.5454545454545454,-0.6494204371849989,0.000982376629335004,quarter_2025Q3,meihua
66,0.6778794361831495,0.24240651861130758,0.5176946410515673,0.5909090909090909,0.28812556796769606,0.0026195947441487537,quarter_2025Q3,liuyao_hash
60,0.7049882695493142,0.25589847910816477,0.37149270482603813,0.5,-3.5471819729183305,-0.0034606475455042085,quarter_2025Q4,baseline
60,0.7034756730224309,0.2551233577853978,0.44893378226711567,0.4666666666666667,-1.148261466820187,0.0003496525270145212,quarter_2025Q4,cycle
60,0.7081357829777388,0.2574483188965091,0.372615039281706,0.4,-3.252837703318756,-0.003924480120399032,quarter_2025Q4,ziping
60,0.6948286784013596,0.25084977567633004,0.42985409652076323,0.5333333333333333,-0.3521826643829259,-0.005293462639856176,quarter_2025Q4,qimen
60,0.7119689685628244,0.25933453814883034,0.3759820426487093,0.43333333333333335,-2.371843108185834,-0.005795511928444852,quarter_2025Q4,meihua
60,0.6922654549914177,0.24957872199315861,0.4837261503928171,0.4666666666666667,0.11996935062423279,-0.0009595076299123243,quarter_2025Q4,liuyao_hash
56,0.6879684570557009,0.24740876981255294,0.5135483870967742,0.5892857142857143,0.6224803083300822,0.003359486089039687,quarter_2026Q1,baseline
56,0.6907080073795246,0.24875001208496986,0.4864516129032258,0.5535714285714286,0.07434352968643357,0.0019830268713427654,quarter_2026Q1,cycle
56,0.6870232034010471,0.2469044150375623,0.5406451612903226,0.5714285714285714,0.7662326234573548,0.0028262998414937124,quarter_2026Q1,ziping
56,0.6974679232110227,0.25211375050992185,0.4529032258064516,0.5,-1.2820076843768513,-0.00039186752674217706,quarter_2026Q1,qimen
56,0.686166857928467,0.24649860378112362,0.5393548387096774,0.5357142857142857,0.7883987888320445,0.002523386096130962,quarter_2026Q1,meihua
