branch,shift_sessions,log_loss,brier_score,roc_auc,accuracy,calibration_slope,probability_spread_return,logloss_improvement_vs_R1,brier_improvement_vs_R1
ziping,61,0.7021193702252927,0.2544106921548681,0.45160950424108315,0.48854961832061067,-0.7437210704929128,0.0002271022545789615,-0.00755367747226654,-0.0037123938459608374
ziping,67,0.700256171032644,0.2534887768430612,0.4668089141773353,0.5063613231552163,-0.5366940921533058,0.00036461238763424653,-0.005690478279617883,-0.0027904785341539284
ziping,71,0.7082621261508065,0.2574576584425512,0.4183130498919973,0.4681933842239186,-1.3415267311971855,-0.00319491401517405,-0.013696433397780372,-0.006759360133643921
ziping,73,0.6994779882411031,0.2531508809712044,0.4560876666139824,0.4961832061068702,-0.5736812357654199,-0.002189319778617752,-0.004912295488076923,-0.0024525826622971425
ziping,79,0.695401495656232,0.2510887322248763,0.4808756124545598,0.5318066157760815,-0.22047477531956494,-0.0006913524577502655,-0.00083580290320584,-0.0003904339159690462
ziping,83,0.6947860332116378,0.25081927753863126,0.47460618513250097,0.5089058524173028,-0.27944351266714035,-0.0015535298422712585,-0.0002203404586116342,-0.00012097922972398312
ziping,89,0.698825656779283,0.25278025373129165,0.46225172540962023,0.5139949109414759,-0.7342519304046301,-0.0017156775276771345,-0.004259964026256835,-0.002081955422384374
ziping,97,0.6967470345044079,0.25172985828593364,0.47244613034086724,0.5292620865139949,-0.43012777285185494,-8.756694765423023e-05,-0.002181341751381738,-0.001031559977026364
ziping,101,0.7022419075986619,0.25444545802435514,0.45845845845845845,0.5114503816793893,-0.7077105216201454,-0.0006944160104349898,-0.007676214845635743,-0.0037471597154478675
ziping,109,0.6945261365799333,0.2506435939891674,0.4904114640956746,0.5241730279898219,-0.17082800404687037,-0.0011891714358921277,3.9556173092814007e-05,5.470431973986223e-05
ziping,113,0.696656130633822,0.25169945220003476,0.4771877140298193,0.5216284987277354,-0.30533323923093747,0.00022337814611703952,-0.0020904378807958812,-0.001001153891127482
ziping,127,0.6965353145746376,0.2516742093727983,0.48324640429903587,0.5114503816793893,-0.13394309611862915,-0.00044458003777210714,-0.0019696218216114225,-0.0009759110638909996
ziping,131,0.6972163441468922,0.25200728257357186,0.4821400347716137,0.5114503816793893,-0.22972762467244695,-0.0008330295746293258,-0.0026506513938659992,-0.001308984264664581
ziping,137,0.7044779850597055,0.2555573088746731,0.4483430799220274,0.4860050890585242,-0.791295473523711,-0.001881894129284219,-0.009912292306679338,-0.00485901056576582
ziping,149,0.6976301468399168,0.25220233024345184,0.47305199936778886,0.5165394402035624,-0.3861462882713987,0.0009890880026179854,-0.0030644540868906,-0.0015040319345445696
ziping,157,0.6981263023806326,0.2523924829540497,0.4852747484326433,0.5190839694656488,-0.31753262176947605,-0.0005242608161935031,-0.0035606096276064036,-0.001694184645142427
ziping,167,0.6952306040631103,0.2510055885543023,0.487803593066751,0.5190839694656488,-0.161001269974998,0.0004106116638790659,-0.0006649113100841708,-0.0003072902453949977
ziping,181,0.6993117809723248,0.25296842605012376,0.4719983141035773,0.5139949109414759,-0.5357285981599209,-0.001729280099580839,-0.004746088219298672,-0.0022701277412164877
ziping,197,0.7002523631732319,0.25350526975160065,0.45803698435277385,0.5089058524173028,-0.5472628614903561,-0.00016441440457340452,-0.005686670420205764,-0.0028069714426933734
ziping,211,0.6991603910899623,0.25298572620922594,0.4590643274853801,0.5089058524173028,-0.5723922071695718,-0.000812241077865375,-0.004594698336936154,-0.0022874279003186615
ziping,227,0.6961330100426013,0.25144325802936773,0.47916337390021596,0.5114503816793893,-0.33862064799097163,0.0006602655468644295,-0.0015673172895751541,-0.0007449597204604586
ziping,241,0.6978074486519533,0.25231205679880453,0.4645434908592803,0.5216284987277354,-0.41525762206060507,-0.0006352979641323635,-0.0032417558989271678,-0.0016137584898972546
qimen,5,0.6978959715820392,0.2523529178774941,0.47099731310257625,0.4961832061068702,-0.312566577092135,-0.00040984642770876777,-0.0033302788290130447,-0.0016546195685868126
qimen,7,0.69709865158904,0.25194808522462986,0.4776618723987145,0.5114503816793893,-0.24389221040546294,-0.0014412683093245164,-0.002532958836013899,-0.0012497869157225838
qimen,11,0.6982019838944192,0.2525125536092017,0.45856382698487963,0.5114503816793893,-0.46908813843823727,0.00029385341254748706,-0.0036362911413930776,-0.0018142553002944428
qimen,13,0.6956183511328123,0.251217172685817,0.481349770823455,0.5063613231552163,-0.19650082451878853,-0.0020646385502151145,-0.0010526583797861866,-0.0005188743769097282
qimen,17,0.6973906612938542,0.252065191671906,0.468784574047732,0.5139949109414759,-0.4309845296064615,0.00013196447501748025,-0.0028249685408280323,-0.0013668933629987223
qimen,19,0.6938620426598235,0.25037515028665913,0.4895158316210948,0.5165394402035624,0.010520504066504167,-0.0013082361839222493,0.0007036500932026124,0.0003231480222481431
qimen,23,0.6984318228350133,0.2526227360283934,0.45582424529792953,0.49872773536895676,-0.4625766510900792,0.000176975404821782,-0.003866130081987107,-0.0019244377194861384
qimen,29,0.6909781356204623,0.24891522344321704,0.5159633317528054,0.55470737913486,0.24417029395557935,-0.0001966703038327551,0.0035875571325638678,0.0017830748656902373
qimen,31,0.6946770596498811,0.25075772245121514,0.4863284336968547,0.5139949109414759,-0.08440436019006246,-0.002794807155362099,-0.0001113668968549808,-5.9424142307862304e-05
qimen,37,0.696797492634699,0.25182117004631177,0.47587060744955484,0.49363867684478374,-0.2654050620996762,-0.00178366430816693,-0.00223179988167288,-0.001122871737404496
qimen,41,0.6946699391706413,0.2507425619916068,0.4875665138823034,0.5216284987277354,-0.15277256146296728,-0.00037524583540066376,-0.00010424641761519471,-4.426368269955239e-05
qimen,47,0.6990390813530092,0.25292835379505174,0.4604604604604604,0.47837150127226463,-0.4225149970370101,0.0004354734240317196,-0.00447338859998303,-0.0022300554861444666
qimen,53,0.6915423794347275,0.24917804010390013,0.5077445866919551,0.5241730279898219,0.21926286090280592,-0.0005894852113640563,0.003023313318298637,0.0015202582050071467
qimen,59,0.6949891991621884,0.2509330443505949,0.4862494073020389,0.5038167938931297,-0.10597885019385145,-1.6684044554027343e-05,-0.00042350640916222204,-0.0002347460416876057
qimen,61,0.6978467637580341,0.2523134780217149,0.47745113534587225,0.5012722646310432,-0.3710316619367792,-5.912178752330978e-05,-0.0032810710050079628,-0.0016151797128076129
qimen,67,0.6978065719996245,0.252271002037906,0.4740793425003952,0.48854961832061067,-0.33194770146349895,-0.0015118010144215396,-0.003240879246598327,-0.0015727037289987034
qimen,71,0.697852474908917,0.2522983726954038,0.47776724092513567,0.5114503816793893,-0.2645372739969757,-4.605320512068921e-05,-0.003286782155890844,-0.0016000743864965083
qimen,73,0.6972426315849115,0.25203912456743516,0.4693114166798378,0.4961832061068702,-0.3677974938433854,0.0005710451019448268,-0.002676938831885356,-0.001340826258527883
qimen,79,0.7012821110124177,0.2539809481761187,0.4615404878562773,0.5292620865139949,-0.6226788842289632,-0.001734033344799801,-0.00671641825939151,-0.00328264986721144
qimen,83,0.6982945260768012,0.2525052775413615,0.476608187134503,0.5216284987277354,-0.43597025866463995,-0.0015313726484252213,-0.0037288333237750493,-0.0018069792324542089
qimen,89,0.6958312227555122,0.25134604855134635,0.47745113534587214,0.5139949109414759,-0.1591476605668445,-0.000462512643191595,-0.0012655300024860816,-0.0006477502424390713
qimen,97,0.6956428214379283,0.2511423124519449,0.5012380801854486,0.5292620865139949,-0.10651126462858809,-0.000835478125619214,-0.0010771286849021733,-0.00044401414303762987
qimen,101,0.6959251473710798,0.2513408862698011,0.4919656498603867,0.5139949109414759,-0.20342719446671748,-8.04433679575052e-05,-0.001359454618053646,-0.0006425879608938367
qimen,109,0.6989878762059484,0.2528771149564122,0.4719983141035773,0.49363867684478374,-0.4234396247981675,1.4857421129353243e-05,-0.004422183452922224,-0.002178816647504911
qimen,113,0.6962343652628709,0.2515050671614466,0.48975291080554234,0.4860050890585242,-0.21771999605442152,-0.0011205027178019227,-0.0016686725098447042,-0.0008067688525393302
qimen,127,0.7032578976015195,0.254952423397819,0.4516095042410832,0.49363867684478374,-0.7426202795370213,-0.001369564620303385,-0.008692204848493312,-0.004254125088911709
qimen,131,0.6953800881495026,0.25111026247648793,0.48606501238080185,0.5063613231552163,-0.13557667785914887,-0.0008598149693628588,-0.0008143953964764306,-0.00041196416758065846
qimen,137,0.6952114291459681,0.2510200065568844,0.48835677783046205,0.5216284987277354,-0.1433253268565752,-0.00023446714877758208,-0.0006457363929419646,-0.00032170824797711495
