branch,shift_sessions,log_loss,brier_score,roc_auc,accuracy,logloss_improvement_vs_baseline,brier_improvement_vs_baseline
ziping,157,0.6933951854513845,0.25009959108080615,0.49728676044465525,0.5318066157760815,-0.0007373803082674213,-0.00034150924010595274
ziping,167,0.693053724516664,0.2499525438161399,0.48519572203782735,0.5114503816793893,-0.00039591937354699347,-0.0001944619754397081
ziping,181,0.6939773603301083,0.25039683228724696,0.49067488541172755,0.5190839694656488,-0.001319555186991228,-0.0006387504465467653
ziping,197,0.6921409083019517,0.2494908827905965,0.5032400821874506,0.5190839694656488,0.000516896841165293,0.0002671990501036947
ziping,211,0.6904117509028744,0.24865519255501256,0.49836678784047206,0.5241730279898219,0.002246054240242601,0.001102889285687636
ziping,227,0.6943051772021378,0.25056026429789774,0.4840366682471946,0.5267175572519084,-0.0016473720590207686,-0.0008021824571975422
ziping,241,0.6934550124755262,0.2501714354293277,0.48343079922027293,0.4910941475826972,-0.0007972073324091777,-0.0004133535886274853
qimen,5,0.694184776022829,0.25051940735475936,0.488172382909225,0.5038167938931297,-0.0015269708797119863,-0.0007613255140591635
qimen,7,0.6927545312393653,0.24981070868714614,0.4879089615931722,0.5139949109414759,-9.672609624822304e-05,-5.262684644594118e-05
qimen,11,0.6935893472793445,0.25022524736638907,0.4840366682471945,0.5038167938931297,-0.0009315421362274812,-0.00046716552568887293
qimen,13,0.692588227392905,0.2497274895839506,0.4867762499341447,0.5241730279898219,6.957775021199097e-05,3.0592256749589763e-05
qimen,17,0.6944993153575694,0.2506466625479266,0.4834571413518782,0.5139949109414759,-0.0018415102144523354,-0.0008885807072264162
qimen,19,0.6915397451422981,0.24920244392181978,0.49641747010168064,0.5267175572519084,0.0011180600008189323,0.0005556379188804139
qimen,23,0.696986347873181,0.251916059178904,0.45690427269374634,0.5190839694656488,-0.004328542730064,-0.002157977338203776
qimen,29,0.6890726760631516,0.24799282325211938,0.5154891733839102,0.539440203562341,0.0035851290799654434,0.0017652585885808147
qimen,31,0.692590283275358,0.24973928127175293,0.4862757494336442,0.5190839694656488,6.752186775904612e-05,1.8800568947263674e-05
qimen,37,0.6937691240233517,0.2503125426971398,0.4900426742532005,0.5216284987277354,-0.0011113188802346352,-0.0005544608564396203
qimen,41,0.6924368508215276,0.24964035432279968,0.5052947684526632,0.5292620865139949,0.0002209543215894172,0.00011772751790051217
qimen,47,0.695332102535571,0.25109968155466744,0.4761867130288182,0.5089058524173028,-0.0026742973924539504,-0.0013415997139672453
qimen,53,0.690950059700287,0.24890605261802107,0.5057162425583479,0.5419847328244275,0.0017077454428300332,0.0008520292226791293
qimen,59,0.6923825417350445,0.24962713330433925,0.4938622833359675,0.5063613231552163,0.0002752634080724903,0.0001309485363609475
qimen,61,0.6962775944652622,0.25156732177558877,0.4694958116010748,0.48091603053435117,-0.0036197893221451283,-0.0018092399348885735
qimen,67,0.6912373962409449,0.24903162569071563,0.510089036404826,0.5267175572519084,0.001420408902172099,0.0007264561499845668
qimen,71,0.6920250830916433,0.2494496649902529,0.5007112375533429,0.5165394402035624,0.0006327220514736887,0.0003084168504473017
qimen,73,0.6931255099686532,0.2500072340007134,0.4846952215373268,0.49872773536895676,-0.00046770482553615267,-0.0002491521600131996
qimen,79,0.6964182491440293,0.2516195921688343,0.47768821453031984,0.5114503816793893,-0.003760444000912244,-0.0018615103281340861
qimen,83,0.6929926175903979,0.24993777163363054,0.4913334387018598,0.5241730279898219,-0.00033481244728084114,-0.00017968979293034315
qimen,89,0.6910264203729849,0.24895716856664965,0.5015541857647121,0.5470737913486005,0.0016313847701321382,0.0008009132740505465
qimen,97,0.6932247204356348,0.2500117965745025,0.5018702913439756,0.5419847328244275,-0.0005669152925177334,-0.0002537147338023127
qimen,101,0.6908980970370246,0.2488780659646223,0.5083241135872716,0.539440203562341,0.0017597081060923836,0.0008800158760778887
qimen,109,0.6936736520084136,0.25027844868145066,0.48854117275169906,0.4961832061068702,-0.0010158468652965436,-0.0005203668407504636
qimen,113,0.6945395327699126,0.2507044138788343,0.4770296612401876,0.49363867684478374,-0.0018817276267956151,-0.0009463320381341012
qimen,127,0.6965562751695273,0.2516515563037823,0.47950582161108474,0.5241730279898219,-0.0038984700264103056,-0.0018934744630820788
qimen,131,0.6912958034853978,0.24907673609374867,0.5097992729571676,0.5318066157760815,0.0013620016577192695,0.0006813457469515283
qimen,137,0.6943533569271902,0.2505947352653482,0.4860650123808019,0.5216284987277354,-0.0016955517840732126,-0.000836653424648004
qimen,149,0.6963603863261723,0.2515532684614102,0.4868552763289606,0.5368956743002544,-0.00370258118305522,-0.0017951866207099876
qimen,157,0.6944359539178193,0.25064805199137963,0.4824824824824825,0.5419847328244275,-0.0017781487747022817,-0.0008899701506794311
qimen,167,0.6936974781738965,0.2502776653323255,0.4942047310468364,0.5038167938931297,-0.0010396730307794533,-0.0005195834916252862
qimen,181,0.6883894167686996,0.2476187620072715,0.5286075549233444,0.5623409669211196,0.004268388374417453,0.002139319833428688
qimen,197,0.6916463192914007,0.2492619671823053,0.5034244771086877,0.5318066157760815,0.0010114858517162872,0.0004961146583948861
qimen,211,0.6927313695773787,0.24979752841161207,0.4956535482851273,0.5267175572519084,-7.35644342616526e-05,-3.944657091187187e-05
qimen,227,0.6867029495232931,0.24682283544851372,0.5268953163690007,0.539440203562341,0.0059548556198238956,0.00293524639218648
qimen,241,0.6956431585485935,0.25120892249123605,0.4871186976450135,0.5190839694656488,-0.002985353405476454,-0.0014508406505358562
meihua,5,0.695324025342416,0.25107824749604357,0.4784521363468732,0.5318066157760815,-0.002666220199298963,-0.001320165655343375
meihua,7,0.691996502027532,0.2494149681924465,0.504636215162531,0.5419847328244275,0.000661303115584988,0.0003431136482537067
meihua,11,0.6944522261288377,0.25064119144764413,0.4796902165323218,0.5241730279898219,-0.0017944209857206905,-0.0008831096069439326
meihua,13,0.6950919887643267,0.25095789886471165,0.4806385332701122,0.5139949109414759,-0.002434183621209618,-0.0011998170240114514
meihua,17,0.6936411767175796,0.250243049386492,0.48572256466993313,0.5089058524173028,-0.0009833715744625993,-0.00048496754579180346
meihua,19,0.6915090833063421,0.24917639210593984,0.5012644223170539,0.5139949109414759,0.0011487218367749463,0.00058168973476036
meihua,23,0.6902679176230817,0.24856970410119192,0.5079816658764027,0.5165394402035624,0.0023898875200353276,0.0011883777395082784
meihua,29,0.6938301011984317,0.25034724028583843,0.48477424793214263,0.5063613231552163,-0.0011722960553146589,-0.0005891584451382381
meihua,31,0.6940264707267558,0.2504345892665817,0.48408935251040514,0.5216284987277354,-0.001368665583638795,-0.0006765074258814896
meihua,37,0.6925046736819651,0.24968470442953183,0.4908065960697541,0.5241730279898219,0.000153131461151923,7.337741116836272e-05
meihua,41,0.6927532836831163,0.24980176620852357,0.49270322954533485,0.5114503816793893,-9.547853999924971e-05,-4.368436782337115e-05
meihua,47,0.6932482493544935,0.25003986273824624,0.48935777883146303,0.5521628498727735,-0.0005904442113764397,-0.00028178089754604674
meihua,53,0.6942806374182772,0.250558851858393,0.4841947210368263,0.5318066157760815,-0.0016228322751601354,-0.0008007700176927979
meihua,59,0.6921884835554883,0.2495136271000037,0.49199199199199206,0.5419847328244275,0.0004693215876286905,0.0002444547406965092
meihua,61,0.6931440430816125,0.24999594923658316,0.48632843369685474,0.5292620865139949,-0.0004862379384954485,-0.000237867395882968
meihua,67,0.6941480291325215,0.2504955800998608,0.4873557768294611,0.5216284987277354,-0.00149022398940446,-0.000737498259160585
meihua,71,0.6918760757435929,0.24936849774217537,0.49589062746957485,0.5267175572519084,0.0007817293995241448,0.00038958409852482556
meihua,73,0.6916999942786239,0.2492877986645466,0.49183393920236024,0.5343511450381679,0.0009578108644930916,0.0004702831761536075
meihua,79,0.6921234054316042,0.24950466309246924,0.4925715188873084,0.5190839694656488,0.0005343997115128118,0.00025341874823095467
meihua,83,0.6923793654827217,0.24961636269231954,0.48703967125019754,0.5216284987277354,0.0002784396603953132,0.00014171914838065347
meihua,89,0.6902211173519615,0.24854616839143137,0.5141720668036458,0.539440203562341,0.0024366877911555784,0.0012119134492688255
meihua,97,0.6935949949538953,0.25022422170257236,0.48490595859016916,0.5139949109414759,-0.0009371898107782828,-0.0004661398618721613
meihua,101,0.6931558503282154,0.2500168337087299,0.48303566724619357,0.49872773536895676,-0.0004980451850983281,-0.0002587518680297052
meihua,109,0.6941629971231491,0.2505035835582419,0.4773457668194511,0.5292620865139949,-0.0015051919800320723,-0.00074550171754173
meihua,113,0.6948207152846488,0.2508205440766041,0.4855645118803014,0.5241730279898219,-0.002162910141531804,-0.0010624622359038938
meihua,127,0.6918788956152381,0.24936952500814805,0.5039776618723988,0.5165394402035624,0.0007789095278789571,0.00038855683255215046
meihua,131,0.6915629529074196,0.24920254260206168,0.5124334861176966,0.544529262086514,0.0010948522356973855,0.0005555392386385194
meihua,137,0.6893944238200106,0.2481247479316733,0.5199146514935988,0.5597964376590331,0.00326338132310644,0.0016333339090268961
meihua,149,0.6945320874149485,0.2506855838641113,0.4822717454296402,0.5267175572519084,-0.0018742822718315066,-0.0009275020234111309
meihua,157,0.6914460460574635,0.24915698342138662,0.49768189241873456,0.5165394402035624,0.0012117590856535188,0.0006010984193135782
meihua,167,0.6880589539018257,0.2474814468720608,0.5271323955534482,0.5699745547073791,0.004598851241291335,0.0022766349686393905
meihua,181,0.6904168524123907,0.2486298593797696,0.5162794373320689,0.5419847328244275,0.002240952730726331,0.0011282224609305835
meihua,197,0.694119813774255,0.250481288123199,0.47473789579052733,0.5139949109414759,-0.0014620086311379898,-0.0007232062824987784
meihua,211,0.691581217615262,0.2492298167031688,0.494178388915231,0.5216284987277354,0.0010765875278549997,0.0005282651375314029
meihua,227,0.6943662243724934,0.25061936924608136,0.47834676782045205,0.5139949109414759,-0.0017084192293763678,-0.0008612874053811614
